n=10,Ta=30,dt=0.1,tt=10,k=1,
dx=0.1,alpha=1,u=100,Q=100,h=1,
1030.99,1021.09,1011.28,1001.58,991.968,982.453,973.028,963.661,953.98,939.891,
2031,2021,2011,2001.01,1991.02,1981.03,1971.04,1960.96,1949.75,1926,
3031,3021,3011,3001,2991,2981,2970.98,2960.8,2948.73,2915.95,
4031,4021,4011,4001,3991,3981,3970.97,3960.71,3947.83,3906.05,
5031,5021,5011,5001,4991,4981,4970.97,4960.63,4946.93,4896.15,
6031,6021,6011,6001,5991,5981,5970.96,5960.55,5946.03,5886.25,
7031,7021,7011,7001,6991,6981,6970.95,6960.47,6945.13,6876.35,
8031,8021,8011,8001,7991,7980.99,7970.94,7960.39,7944.23,7866.44,
9031,9021,9011,9001,8991,8980.99,8970.94,8960.3,8943.33,8856.54,
10031,10021,10011,10001,9991,9980.99,9970.93,9960.22,9942.43,9846.64,
